"article","project","timestamp","views"
"Charles,_Prince_of_Wales","en.wikipedia","2020010100",32880
"Tom_Hanks","en.wikipedia","2020010100",23586
"Boris_Johnson","en.wikipedia","2020010100",12974
"Eurovision_Song_Contest_2020","en.wikipedia","2020010100",7901
"Mike_Pence","en.wikipedia","2020010100",4088
"Olga_Kurylenko","en.wikipedia","2020010100",3653
"WrestleMania_36","en.wikipedia","2020010100",3484
"World_Health_Organization","en.wikipedia","2020010100",3002
"Severe_acute_respiratory_syndrome","en.wikipedia","2020010100",2037
"Centers_for_Disease_Control_and_Prevention","en.wikipedia","2020010100",909
